Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Circunstâncias Preponderantes,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Menor de 21 ou Maior de 70,Confissão Espontânea,Comparação Pena Provisória,Tráfico Privilegiado,Conversão da Pena
0002652-93.2015.8.26.0606,Tráfico de Drogas,Suzano,2ª Vara Criminal,Dr(a). José Eugenio Do Amaral Souza Neto,6570,3650,N/A,N/A,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Sim,Não,Diferente da base,Não,Não convertida
1517351-38.2022.8.26.0228,Tráfico de Drogas,SÃO PAULO,7ª Vara Criminal,Rodrigo Jae Hwa An,500,400,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,Igual à base,Não,Convertida
1500243-39.2022.8.26.0537,Tráfico de Drogas,Diadema,2ª Vara Criminal,Dra. CECÍLIA NAIR SIQUEIRA PRADO EUZEBIO,500,166,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,N/A,Sim,Não convertida
1500840-95.2021.8.26.0196,Tráfico de Drogas,Franca,1ª Vara Criminal,Luciano Franchi Lemes,1825,605,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Não convertida
1501658-42.2022.8.26.0542,Tráfico de Drogas,Carapicuíba,2ª Vara Criminal,Dr(a). CAMILE DE LIMA E SILVA BONILHA,500,600,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,N/A,Não,Não convertida
1519228-13.2022.8.26.0228,Tráfico de Drogas,São Paulo,22ª Vara Criminal,LEONARDO PRAZERES DA SILVA,500,166,Sim,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Convertida
1501099-70.2022.8.26.0062,Tráfico de Drogas,Bariri,2ª Vara,Dr. MAURICIO MARTINES CHIADO,2190,2625,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1500376-97.2021.8.26.0543,Tráfico de Drogas,Santa Isabel,1ª Vara,SANDRO CAVALCANTI ROLLO,365,N/A,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Convertida
0012358-45.1997.8.26.0408,Tráfico de Drogas,Ourinhos,2ª Vara Criminal,Dr(a). Renata Ferreira dos Santos Carvalho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501501-41.2022.8.26.0616,Tráfico de Drogas,Poá,2ª Vara Criminal,Dr(a). Antonia Brasilina de Paula Farah,N/A,120,Sim,Não,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1500166-96.2022.8.26.0612,Tráfico de Drogas,Taquaritinga,1ª Vara,LEOPOLDO VILELA DE ANDRADE DA SILVA COSTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1503263-50.2022.8.26.0533,Tráfico de Drogas,Santa Bárbara d'Oeste,2ª Vara Criminal,Lucas Borges Dias,500,166,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Não,Diferente da base,Sim,Convertida
0000606-60.2017.8.26.0025,Tráfico de Drogas,Angatuba,Vara Única,CAROLINE COSTA DE CAMARGO,N/A,N/A,Não,Não,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Não convertida
1500852-53.2022.8.26.0559,Tráfico de Drogas,São José do Rio Preto,4ª Vara Criminal,Maria Letícia Pozzi Buassi,2125,1825,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,Igual à base,Não,Não convertida
1500958-15.2022.8.26.0559,Tráfico de Drogas,José Bonifácio,2ª Vara,Natália Berti,600,700,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1501000-56.2022.8.26.0594,Tráfico de Drogas,Lençóis Paulista,1ª Vara,Natasha Gabriella Azevedo Motta,500,583,Não,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,N/A,Não,Não convertida
1510946-02.2020.8.26.0019,Tráfico de Drogas,Americana,2ª Vara Criminal,EUGENIO AUGUSTO CLEMENTI JUNIOR,120,180,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Não convertida
1500309-89.2022.8.26.0546,Tráfico de Drogas,Itapira,1ª Vara,VANESSA APARECIDA BUENO,583,500,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Não convertida
1500233-34.2022.8.26.0621,Tráfico de Drogas,Aparecida,1ª Vara,Dr(a). LUIZ FELLIPPE DE SOUZA MARINO,500,250,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Diferente da base,Sim,Não convertida
1500322-81.2021.8.26.0495,Tráfico de Drogas,Registro,1ª Vara,Dr(a). Raphael Ernane Neves,2125,1825,N/A,N/A,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,N/A,Não,Convertida
0005672-62.2016.8.26.0637,Tráfico de Drogas,SÃO PAULO,17ª Vara Criminal,Dr(a). Fábio Aguiar Munhoz Soares,365,425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Convertida
1501384-20.2018.8.26.0445,Tráfico de Drogas,Pindamonhangaba,Vara Criminal,Felipe Estevão de Melo Gonçalves,2007,1825,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
0017855-80.2016.8.26.0050,Tráfico de Drogas,SÃO PAULO,14ª Vara Criminal,FERNANDA HELENA BENEVIDES DIAS,2125,2480,Não,Não,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,N/A,Não,Não convertida
1500753-10.2022.8.26.0066,Tráfico de Drogas,Barretos,2ª Vara Criminal,LUCIANO DE OLIVEIRA SILVA,500,416,N/A,N/A,Maus antecedentes,Sim no mínimo,N/A,Não,Não,Não,N/A,Não,Não convertida
1500928-37.2022.8.26.0540,Tráfico de Drogas,Mauá,2ª Vara Criminal,Paulo Antonio Canali Campanella,2555,2555,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1501388-85.2021.8.26.0628,Tráfico de Drogas,Itapevi,Vara Criminal,Udo Wolff Dick Appolo Do Amaral,2005,910,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Sim,Sim,Diferente da base,Não,Convertida
1500420-83.2022.8.26.0575,Tráfico de Drogas,São José do Rio Pardo,2ª Vara,Marcelo Luiz Leano,500,500,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Não,Igual à base,Sim,Não convertida
1500210-55.2022.8.26.0535,Tráfico de Drogas,Arujá,2ª Vara,JOSÉ HENRIQUE OLIVEIRA GOMES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500297-93.2022.8.26.0540,Tráfico de Drogas,SÃO PAULO,25ª Vara Criminal,Waldir Calciolari,600,166,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Convertida
1501084-82.2022.8.26.0618,Tráfico de Drogas,Taubaté,2ª Vara Criminal,Fernanda Teixeira Salviano da Rocha,N/A,N/A,Não,Não,Maus antecedentes,Não no mínimo,Não,Não,Não,Não,Diferente da base,Não,Não convertida
1514396-34.2022.8.26.0228,Tráfico de Drogas,SÃO PAULO,2ª Vara Criminal,Daniela Martins de Castro Mariani Cavallanti,600,700,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,N/A,Não,Não convertida
1501300-16.2022.8.26.0530,Tráfico de Drogas,Jardinópolis,1ª Vara,Dr(a). Mariana Tonoli Angeli,500,166,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Sim,Não convertida
0004271-59.2016.8.26.0659,Tráfico de Drogas,Vinhedo,2ª Vara,Érica Midori Sanada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1502344-61.2022.8.26.0533,Tráfico de Drogas,Santa Bárbara d'Oeste,2ª Vara Criminal,Lucas Borges Dias,500,166,Sim,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Não,Diferente da base,Sim,Convertida
1502812-25.2022.8.26.0533,Tráfico de Drogas,Santa Bárbara d'Oeste,2ª Vara Criminal,Dr(a). Lucas Borges Dias,2100,600,Não,Não,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Não,Diferente da base,Sim,Convertida
1500725-67.2020.8.26.0533,Tráfico de Drogas,Santa Bárbara d'Oeste,2ª Vara Criminal,Lucas Borges Dias,N/A,N/A,Não,Não,Primário ou sem antecedentes,N/A,Não,Não,Não,Sim,N/A,Não,Não convertida
1500615-49.2020.8.26.0022,Tráfico de Drogas,Amparo,1ª Vara,Fernando Leonardi Campanella,N/A,600,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,N/A,Não,N/A
1000063-74.2022.8.26.0248,Tráfico de Drogas,Indaiatuba,1ª Vara Criminal,Sérgio Fernandes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501222-77.2020.8.26.0599,Tráfico de Drogas,Piracicaba,1ª Vara Criminal,Ana Claudia Madeira de Oliveira,N/A,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,Não,N/A,Sim,N/A,Sim,N/A
1500052-09.2022.8.26.0435,Tráfico de Drogas,Pedreira,2ª Vara,Dayse Lemos de Oliveira,2280,1900,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Sim,Diferente da base,Não,Não convertida
1500300-95.2019.8.26.0623,Tráfico de Drogas,Espírito Santo do Pinhal,1ª Vara,ROSELI JOSE FERNANDES COUTINHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500511-52.2022.8.26.0583,Tráfico de Drogas,Presidente Prudente,1ª Vara Criminal,Antonio Roberto Sylla,1825,912,Sim,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Não convertida
1500693-87.2022.8.26.0599,Tráfico de Drogas,Piracicaba,1ª Vara Criminal,Ana Claudia Madeira de Oliveira,1825,2129,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Sim,N/A,Não,Não convertida
1500407-79.2019.8.26.0352,Tráfico de Drogas,Miguelópolis,1ª Vara,ELISA LEONESI MALUF,N/A,N/A,N/A,Grande quantidade ou natureza da droga,Maus antecedentes,N/A,N/A,Uma condenação,N/A,N/A,N/A,N/A,N/A
1501204-24.2020.8.26.0545,Tráfico de Drogas,Jarinu,Vara Única,ELIZABETH SHALDERS DE OLIVEIRA ROXO,N/A,2190,Não,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1500394-32.2020.8.26.0583,Tráfico de Drogas,Presidente Prudente,1ª Vara Criminal,Antonio Roberto Sylla,2125,2480,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Uma condenação,Sim,Sim,Diferente da base,Não,Não convertida
1500180-66.2019.8.26.0101,Tráfico de Drogas,Caçapava,Vara Criminal,Gustavo de Campos Machado,365,485,Sim,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,N/A,Não,Convertida
1501101-83.2021.8.26.0544,Tráfico de Drogas,Campo Limpo Paulista,1ª Vara,Dr(a). Gabriela da Conceição Rodrigues,583,2125,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1521354-70.2021.8.26.0228,Tráfico de Drogas,SÃO PAULO,14ª Vara Criminal,Fernando Augusto Andrade Conceição,1825,605,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Sim,Diferente da base,Sim,Convertida
1501579-06.2021.8.26.0540,Tráfico de Drogas,Rio Grande da Serra,Vara Única,ALEXANDRE CHIOCHETTI FERRARI,2893,3379,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1500613-03.2021.8.26.0618,Tráfico de Drogas,Tremembé,1ª Vara,ANTONIA MARIA PRADO DE MELO,1825,1825,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Não convertida
1500216-08.2021.8.26.0144,Tráfico de Drogas,Conchal,Vara Única,JULIANA BRESCANSIN DEMARCHI MOLINA,2050,2392,Sim,Não,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,N/A,Não,Não convertida
1500090-47.2018.8.26.0019,Tráfico de Drogas,Americana,2ª Vara Criminal,ANDRÉ CARLOS DE OLIVEIRA,N/A,N/A,N/A,Não,Primário ou sem antecedentes,N/A,N/A,Não,N/A,Sim,N/A,Não,N/A
1525437-32.2021.8.26.0228,Tráfico de Drogas,SÃO PAULO,18ª Vara Criminal,Marcello Ovidio Lopes Guimarães,N/A,N/A,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
1501832-11.2021.8.26.0599,Tráfico de Drogas,Piracicaba,4ª Vara Criminal,Gisela Ruffo,N/A,1825,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Sim,Diferente da base,Não,Não convertida
1507464-30.2022.8.26.0228,Tráfico de Drogas,SÃO PAULO,9ª Vara Criminal,Mariana Parmezan Annibal,1825,608,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Sim,Convertida
1500232-08.2022.8.26.0279,Tráfico de Drogas,Itararé,1ª Vara,JOCIMAR DAL CHIAVON,600,500,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Sim,Sim,N/A,Não,Não convertida
1501170-11.2022.8.26.0535,Tráfico de Drogas,Guarulhos,1ª Vara Criminal,Dr(a). MIRIAN KEIKO SANCHES MACEDO,500,500,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,Igual à base,Não,Não convertida
0000270-33.2022.8.26.0655,Tráfico de Drogas,Várzea Paulista,1ª Vara,LUIZ GUSTAVO PRIMON,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500630-39.2021.8.26.0618,Tráfico de Drogas,Pindamonhangaba,Vara Criminal,FELIPE ESTEVAO DE MELO GONCALVES,500,400,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Sim,Diferente da base,Sim,Convertida
1502221-88.2022.8.26.0266,Tráfico de Drogas,Itanhaém,1ª Vara,Paulo Alexandre Rodrigues Coutinho,1825,912,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Sim,N/A,Não,Convertida
1500347-69.2020.8.26.0062,Tráfico de Drogas,Bariri,1ª Vara,CHAIANE MARIA BUBLITZ KORTE,2125,705,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Não,Diferente da base,Sim,Convertida
1500397-57.2021.8.26.0613,Tráfico de Drogas,Tambaú,Vara Única,ÉNDERSON DANILO SANTOS DE VASCONCELOS,500,333,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Convertida
1503584-69.2018.8.26.0228,Tráfico de Drogas,SÃO PAULO,12ª Vara Criminal,EVA LOBO CHAIB DIAS JORGE,1095,1095,N/A,N/A,Primário ou sem antecedentes,Sim no mínimo,N/A,Não,N/A,Não,N/A,N/A,Convertida
1505276-64.2022.8.26.0228,Tráfico de Drogas,SÃO PAULO,14ª Vara Criminal,Fernando Augusto Andrade Conceição,2125,910,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Sim,N/A,Sim,Convertida
1502131-68.2020.8.26.0616,Tráfico de Drogas,Itaquaquecetuba,1ª Vara Criminal,ERICA PEREIRA DE SOUSA,2125,1770,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,N/A,Não,Não convertida
1500038-82.2022.8.26.0610,Tráfico de Drogas,Morro Agudo,Vara Única,SAMUEL BORTOLINI DOS SANTOS,2190,605,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Não,Diferente da base,Não,Não convertida
1519265-74.2021.8.26.0228,Tráfico de Drogas,SÃO PAULO,13ª Vara Criminal,ERIKA FERNANDES,N/A,1825,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
0005840-45.2021.8.26.0037,Tráfico de Drogas,Araraquara,3ª Vara Criminal,Roberto Raineri Simão,583,815,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Sim,Sim,Diferente da base,Não,Não convertida
1500049-60.2022.8.26.0530,Tráfico de Drogas,Pontal,1ª Vara,JOACY DIAS FURTADO,2280,1899,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Não convertida
1500365-06.2022.8.26.0617,Tráfico de Drogas,São José dos Campos,2ª Vara Criminal,BRENNO GIMENES CESCA,1460,1215,Não,Não,Maus antecedentes,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Convertida
1500166-69.2022.8.26.0621,Tráfico de Drogas,Guaratinguetá,1ª Vara,Paulo César Ribeiro Meireles,2125,3045,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Sim,Igual à base,Não,Não convertida
0002633-40.2022.8.26.0510,Tráfico de Drogas,Rio Claro,2ª Vara Criminal,CAIO CESAR GINEZ ALMEIDA BUENO,1825,912,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Sim,N/A,Sim,Convertida
1500733-71.2022.8.26.0081,Tráfico de Drogas,Adamantina,3ª Vara,Ruth Duarte Menegatti,2125,2480,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
0004818-97.2022.8.26.0624,Tráfico de Drogas,Tatuí,1ª Vara Criminal,Mariana Teixeira Salviano da Rocha,1825,705,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Convertida
1501499-93.2020.8.26.0599,Tráfico de Drogas,Piracicaba,1ª Vara Criminal,Dr(a). Ana Claudia Madeira de Oliveira,1825,1215,N/A,N/A,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,N/A,Sim,Convertida
1517556-04.2021.8.26.0228,Tráfico de Drogas,SÃO PAULO,28ª Vara Criminal,Fernanda Galizia Noriega,2125,2893,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1500639-55.2022.8.26.0621,Tráfico de Drogas,Lorena,Vara Criminal,Daniel Otero Pereira da Costa,1369,1095,Sim,Não,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,N/A,Não,N/A
1500647-64.2022.8.26.0481,Tráfico de Drogas,Presidente Epitácio,1ª Vara,MARIA FERNANDA SANDOVAL EUGENIO BARREIROS TAMAOKI,1825,1215,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Sim,Igual à base,Sim,Convertida
1500275-18.2022.8.26.0481,Tráfico de Drogas,Presidente Epitácio,1ª Vara,MARIA FERNANDA SANDOVAL EUGENIO BARREIROS TAMAOKI,180,180,Sim,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Sim,Igual à base,Não,Convertida
1500373-52.2022.8.26.0594,Tráfico de Drogas,Bauru,1ª Vara Criminal,Dr(a). Érica Marcelina Cruz,1095,1095,Sim,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Igual à base,Não,Não convertida
1500901-14.2022.8.26.0618,Tráfico de Drogas,Taubaté,3ª Vara Criminal,Marcia Beringhs Domingues de Castro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500422-04.2022.8.26.0559,Tráfico de Drogas,São José do Rio Preto,4ª Vara Criminal,Dra. Maria Letícia Pozzi Buassi,2125,2490,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Sim,Diferente da base,Não,Não convertida
1500137-25.2021.8.26.0598,Tráfico de Drogas,Pederneiras,2ª Vara,CAROLINA DIONÃSIO,583,680,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
1500261-72.2022.8.26.0145,Tráfico de Drogas,Conchas,2ª Vara,ELIZABETH SHALDERS DE OLIVEIRA ROXO,N/A,772,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Não convertida
1502107-21.2022.8.26.0535,Tráfico de Drogas,Guarulhos,6ª Vara Criminal,Dr(a). Gilberto Azevedo de Moraes Costa,2125,2480,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,N/A,Não,Não convertida
1500749-87.2022.8.26.0125,Tráfico de Drogas,Capivari,Juizado Especial Cível e Criminal,Fredison Capeline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500142-73.2021.8.26.0072,Tráfico de Drogas,Bebedouro,3ª Vara,JOÃO CARLOS SAUD ABDALA FILHO,N/A,556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500017-08.2021.8.26.0072,Tráfico de Drogas,Bebedouro,3ª Vara,JOÃO CARLOS SAUD ABDALA FILHO,N/A,1825,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Não convertida
1501551-13.2022.8.26.0537,Tráfico de Drogas,Diadema,3ª Vara Criminal,Maria da Conceição Pinto Vendeiro,2125,2125,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Sim,Sim,Diferente da base,Não,Não convertida
1500792-19.2022.8.26.0062,Tráfico de Drogas,Bariri,1ª Vara,CHAIANE MARIA BUBLITZ,N/A,30,Não,Não,Primário ou sem antecedentes,N/A,Não,Não,Não,Sim,N/A,Não,Não convertida
1512624-36.2022.8.26.0228,Tráfico de Drogas,SÃO PAULO,2ª Vara Criminal,Daniela Martins de Castro Mariani Cavallanti,600,700,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1500417-56.2022.8.26.0599,Tráfico de Drogas,Piracicaba,3ª Vara Criminal,Rodrigo Pares Andreucci,N/A,N/A,Não,Não,Maus antecedentes,Não no mínimo,Não,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1500203-52.2022.8.26.0571,Tráfico de Drogas,Tatuí,1ª Vara Criminal,Mariana Teixeira Salviano da Rocha,1825,912,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Não convertida
1532975-66.2020.8.26.0562,Tráfico de Drogas,Santos,4ª Vara Criminal,FERNANDO CESAR DO NASCIMENTO,880,1026,Sim,Não,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,N/A,Não,Convertida
1500864-73.2022.8.26.0266,Tráfico de Drogas,Itanhaém,1ª Vara,Paulo Alexandre Rodrigues Coutinho,1825,1825,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,N/A,Não,Não convertida
1518149-67.2020.8.26.0228,Tráfico de Drogas,SÃO PAULO,13ª Vara Criminal,ERIKA FERNANDES,N/A,605,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Convertida
1503501-47.2021.8.26.0196,Tráfico de Drogas,Franca,2ª Vara Criminal,ALEXANDRE SEMEDO DE OLIVEIRA,N/A,150,Não,Não,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Sim,N/A,Não,Não convertida
1501027-90.2018.8.26.0396,Tráfico de Drogas,Novo Horizonte,1ª Vara,RAPHAEL FARACO NETO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500137-45.2022.8.26.0483,Tráfico de Drogas,Presidente Venceslau,1ª Vara,GABRIEL MEDEIROS,2920,3240,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,N/A,Não,Não convertida
1500387-86.2021.8.26.0621,Tráfico de Drogas,Lorena,Vara Criminal,Daniel Otero Pereira da Costa,625,625,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Igual à base,Não,Não convertida
1500048-56.2022.8.26.0601,Tráfico de Drogas,Socorro,2ª Vara,ERIKA SILVEIRA DE MORAES BRANDAO,2190,2835,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,N/A,Não,Não convertida
1500486-26.2020.8.26.0222,Tráfico de Drogas,Guariba,2° Vara Judicial,DANIELA DIAS GRACIOTTO MARTINS,1825,1365,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Convertida
1502422-98.2021.8.26.0530,Tráfico de Drogas,Pontal,1ª Vara,Dr. JOACY DIAS FURTADO,2280,2660,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,N/A,Não,Não convertida
1507283-94.2020.8.26.0132,Tráfico de Drogas,Catanduva,2ª Vara Criminal e Anexo da Infância e da Juventude,Sandro Nogueira de Barros Leite,2125,910,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Convertida
