Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Culpabilidade,Antecedentes,Personalidade do Agente,Circunstâncias do Crime,Pena-Base Minimo?,Reincidência,Contra Criança/Idoso/Enfermo/Grávida,Menor de 21 ou Maior de 70,Confissão Espontânea,Pena Provisória,Crime Tentado,Concurso de Pessoas,Restrição de Liberdade da Vítima,Arma Branca,Arma de Fogo,Conversão da Pena
0006299-24.2014.8.26.0609,Roubo Majorado,Taboão da Serra,1ª Vara Criminal da Comarca de Taboão da Serra,Dr(a). RACHEL DE CASTRO MOREIRA E SILVA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,Sim,Não,Não,Não convertida
0006624-35.2016.8.26.0348,Roubo Majorado,Mauá,1ª Vara Criminal,SANDRO RAFAEL BARBOSA PACHECO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,Sim,N/A
0006688-03.2017.8.26.0577,Roubo Majorado,São José dos Campos,2ª Vara Criminal,Dr(a). Naira Assis Barbosa,N/A,N/A,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,N/A,N/A,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,N/A
0007277-77.2017.8.26.0291,Roubo Majorado,Jaboticabal,Vara Criminal,JULIANA FRANCINI DOS REIS COSTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A
0007352-97.2017.8.26.0168,Roubo Majorado,Dracena,2ª Vara,MARCUS FRAZÃO FROTA,N/A,N/A,N/A,Maus antecedentes,N/A,N/A,N/A,Uma condenação,Não,Sim,N/A,N/A,Não,N/A,N/A,N/A,N/A,N/A
0007694-73.2006.8.26.0272,Roubo Majorado,Itapira,2ª Vara,Helia Regina Pichotano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0007830-66.2016.8.26.0451,Roubo Majorado,Piracicaba,1ª Vara Criminal,Ana Claudia Madeira de Oliveira,1945,2595,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Sim,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0008173-91.2018.8.26.0451,Roubo Majorado,Piracicaba,2ª Vara Criminal,Flavia de Cassia Gonzales de Oliveira,N/A,N/A,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,Não convertida
0008353-10.2015.8.26.0291,Roubo Majorado,Jaboticabal,Vara Criminal,JULIANA FRANCINI DOS REIS COSTA,1460,2555,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Uma condenação,Sim,Sim,Sim,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0008409-95.2019.8.26.0196,Roubo Majorado,Franca,3ª Vara Criminal,Orlando Brossi Júnior,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0008577-77.2009.8.26.0510,Roubo Majorado,Rio Claro,2ª Vara Criminal,CAIO CESAR GINEZ ALMEIDA BUENO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0008590-61.2015.8.26.0156,Roubo Majorado,Cruzeiro,Vara Criminal,Dr. Claudionor Antonio Contri Junior,2430,3345,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0008679-30.2018.8.26.0625,Roubo Majorado,Taubaté,1ª Vara Criminal,Cláudia Calles Novellino Ballestero,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,N/A,Não,Sim,N/A
0008684-42.2016.8.26.0554,Roubo Majorado,Santo André,3ª Vara Criminal,Jarbas Luiz dos Santos,N/A,N/A,N/A,N/A,N/A,Desfavoráveis,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,Sim,Não,Sim,N/A
0008795-16.2022.8.26.0554,Roubo Majorado,Santo André,1ª Vara Criminal,LUIGI MONTEIRO SESTARI,2005,3689,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Sim,Sim,Sim,Sim,Sim,Não convertida
0008828-53.2015.8.26.0068,Roubo Majorado,Barueri,2ª Vara Criminal,Dr(a). Fabio Calheiros do Nascimento,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,Sim,Não,Sim,N/A
0008984-81.2017.8.26.0032,Roubo Majorado,Araçatuba,2ª Vara Criminal,Sérgio Ricardo Biella,1700,2789,N/A,Maus antecedentes,N/A,Desfavoráveis,Não no mínimo,Uma condenação,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,Não convertida
0009715-91.2015.8.26.0050,Roubo Majorado,SÃO PAULO,13ª Vara Criminal,Dr(a). Gerdinaldo Quichaba Costa,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,Desfavoráveis,N/A,Não,Não,Não,Não,N/A,Não,Sim,Não,Não,Não,Não convertida
0009948-14.2019.8.26.0482,Roubo Majorado,Presidente Prudente,2ª Vara Criminal,Francisco José Dias Gomes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,Não,Sim,Não,N/A
0010028-81.2015.8.26.0590,Roubo Majorado,São Vicente,2ª Vara Criminal,Luís Guilherme Vaz de Lima Cardinale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0010032-21.2015.8.26.0590,Roubo Majorado,São Vicente,3ª Vara Criminal,Dr(a). Rodrigo Barbosa Sales,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0010034-88.2015.8.26.0590,Roubo Majorado,São Vicente,3ª Vara Criminal,Dr(a). Rodrigo Barbosa Sales,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0010202-43.2010.8.26.0048,Roubo Majorado,Atibaia,2ª Vara Criminal,CAROLINA CHEQUE DE FREITAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0010253-75.2017.8.26.0576,Roubo Majorado,São José do Rio Preto,2ª Vara Criminal,Dr. Luis Guilherme Pião,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,Sim,N/A,N/A,Não,Sim,Não,Não,Sim,N/A
0010741-88.2003.8.26.0586,Roubo Majorado,São Roque,1ª Vara Criminal,Dr(a). Flavio Roberto de Carvalho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0010951-95.1996.8.26.0292,Roubo Majorado,Jacareí,2ª Vara Criminal,FERNANDA AMBROGI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0011485-57.2018.8.26.0554,Roubo Majorado,Santo André,2ª Vara Criminal,Teresa Cristina Cabral Santana,1460,2270,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,N/A,Não convertida
0012012-66.2016.8.26.0590,Roubo Majorado,São Vicente,2ª Vara Criminal,Luís Guilherme Vaz de Lima Cardinale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não convertida
0012556-08.2022.8.26.0602,Roubo Majorado,Sorocaba,1ª Vara Criminal,JOSE CARLOS METROVICHE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0012638-17.2016.8.26.0451,Roubo Majorado,Piracicaba,2ª Vara Criminal,Flavia de Cassia Gonzales de Oliveira,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
0012699-98.2017.8.26.0625,Roubo Majorado,Taubaté,1ª Vara Criminal,Cláudia Calles Novellino Ballestero,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0013144-83.2018.8.26.0269,Roubo Majorado,Itapetininga,1ª Vara Criminal,ANDRE LUIS BASTOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,N/A,N/A,Sim,N/A
0013679-06.2012.8.26.0048,Roubo Majorado,Atibaia,2ª Vara Criminal,CAROLINA CHEQUE DE FREITAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0013843-45.2002.8.26.0363,Roubo Majorado,Mogi-Mirim,3ª Vara,Fábio Rodrigues Fazuoli,N/A,N/A,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,Sim,N/A
0013897-89.2018.8.26.0576,Roubo Majorado,São José do Rio Preto,5ª Vara Criminal,Gláucia Véspoli dos Santos Ramos de Oliveira,2430,5877,Alta ou acentuada,Maus antecedentes,N/A,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0014130-60.2015.8.26.0554,Roubo Majorado,Santo André,1ª Vara Criminal,Dr(a). Maria Sílvia Gabrielloni Feichtenberger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0014168-58.2020.8.26.0114,Roubo Majorado,Campinas,6ª Vara Criminal,BRUNO LUIZ CASSIOLATO,1460,3240,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
0014940-95.2017.8.26.0576,Roubo Majorado,São José do Rio Preto,2ª Vara Criminal,Dr(a). Luis Guilherme Pião,N/A,N/A,N/A,Maus antecedentes,N/A,Desfavoráveis,N/A,Não,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,Não convertida
0015473-86.2018.8.26.0554,Roubo Majorado,Santo André,2ª Vara Criminal,Teresa Cristina Cabral Santana,1460,1945,N/A,N/A,N/A,Desfavoráveis,Sim no mínimo,N/A,N/A,N/A,N/A,N/A,Não,Sim,Não,Não,Sim,Não convertida
0016026-63.2016.8.26.0309,Roubo Majorado,Jundiaí,2ª Vara Criminal,Clovis Elias Thamê,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0016371-07.2020.8.26.0562,Roubo Majorado,Santos,5ª Vara Criminal,WALTER LUIZ ESTEVES DE AZEVEDO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A
0016523-66.2019.8.26.0602,Roubo Majorado,Sorocaba,2ª Vara Criminal,Margarete Pellizari,8526,7727,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Uma condenação,Não,Não,Não,N/A,Sim,Sim,Não,Não,Sim,Não convertida
0016761-42.2017.8.26.0348,Roubo Majorado,Mauá,1ª Vara Criminal,SANDRO RAFAEL BARBOSA PACHECO,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,N/A,Não,Não,Não,Não,N/A,Sim,Sim,Não,Não,Não,N/A
0017612-29.2022.8.26.0050,Roubo Majorado,SÃO PAULO,4ª Vara Criminal,MARIA PRISCILLA ERNANDES VEIGA OLIVEIRA,1460,4415,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0017718-61.2010.8.26.0292,Roubo Majorado,Jacareí,2ª Vara Criminal,FERNANDA AMBROGI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0018273-88.2014.8.26.0114,Roubo Majorado,Campinas,1ª Vara Criminal,PATRÍCIA SUÁREZ PAE KIM,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,N/A,N/A,Não,Não,Não,N/A,Não,Não,Sim,Não,Sim,N/A
0018561-45.2011.8.26.0048,Roubo Majorado,Atibaia,1Âª Vara Criminal Infância e Juventude,Dr(a). Roberta Layaun Chiappeta de Moraes Barros,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0020077-11.2022.8.26.0050,Roubo Majorado,SÃO PAULO,13ª Vara Criminal,Gerdinaldo Quichaba Costa,1700,2005,N/A,N/A,N/A,Desfavoráveis,Não no mínimo,N/A,Não,Não,Sim,N/A,Não,Sim,Sim,Não,Sim,N/A
0020162-24.2021.8.26.0602,Roubo Majorado,Sorocaba,1ª Vara Criminal,JOSE CARLOS METROVICHE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0020414-65.2006.8.26.0048,Roubo Majorado,Atibaia,1ª Vara Criminal Infância e Juventude,Dr(a). Roberta Layaun Chiappeta de Moraes Barros,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,N/A
0022149-84.2017.8.26.0554,Roubo Majorado,Santo André,3ª Vara Criminal,Jarbas Luiz dos Santos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0023011-36.2014.8.26.0562,Roubo Majorado,Santos,3ª Vara Criminal,Dra. Carla Milhomens Lopes de Figueiredo Gonçalves De Bonis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0023253-45.2017.8.26.0576,Roubo Majorado,São José do Rio Preto,3ª Vara Criminal,Carolina Marchiori Bueno Cocenzo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,N/A,Não,Sim,N/A
0023857-40.2016.8.26.0576,Roubo Majorado,São José do Rio Preto,2ª Vara Criminal,Dr(a). Luis Guilherme Pião,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0024109-61.2022.8.26.0114,Roubo Majorado,Campinas,1Âª Vara Criminal,PATRÃCIA SUÃREZ PAE KIM,2041,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0024412-20.2017.8.26.0577,Roubo Majorado,São José dos Campos,3ª Vara Criminal,NAIRA ASSIS BARBOSA,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,N/A,Não,Sim,Não,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
0026745-42.2017.8.26.0577,Roubo Majorado,São José dos Campos,2ª Vara Criminal,Brenno Gimenes Cesca,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0026825-77.2015.8.26.0576,Roubo Majorado,São José do Rio Preto,3ª Vara Criminal,Carolina Marchiori Bueno Cocenzo,N/A,N/A,Alta ou acentuada,Maus antecedentes,N/A,Desfavoráveis,N/A,Uma condenação,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,N/A
0027379-28.2021.8.26.0050,Roubo Majorado,SÃO PAULO,13ª Vara Criminal,Dr(a). Gerdinaldo Quichaba Costa,1700,2730,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Sim,Não,Sim,Não,Não convertida
0033563-97.2021.8.26.0050,Roubo Majorado,São Paulo,21ª Vara Criminal,Renata William Rached Catelli,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,N/A,Não,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,Não convertida
0034437-26.2006.8.26.0562,Roubo Majorado,Santos,2ª Vara Criminal,Dr(a). Leonardo de Mello Gonçalves,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0043181-71.2018.8.26.0050,Roubo Majorado,SÃO PAULO,23ª Vara Criminal,Dr(a). Cynthia Torres Cristofaro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0045448-58.1994.8.26.0114,Roubo Majorado,Campinas,1ª Vara Criminal,PATRÍCIA SUÁREZ PAE KIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0049532-96.2001.8.26.0554,Roubo Majorado,Santo André,4ª Vara Criminal,Dr(a). Lucas Tambor Bueno,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0056214-91.2011.8.26.0562,Roubo Majorado,Santos,2ª Vara Criminal,Luciana Castello Chafick Miguel,N/A,N/A,Alta ou acentuada,Primário ou sem antecedentes,N/A,Desfavoráveis,N/A,Não,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
0058303-66.2014.8.26.0050,Roubo Majorado,SÃO PAULO,21ª Vara Criminal,Dr(a). Luciane Jabur Mouchaloite Figueiredo,N/A,N/A,N/A,Maus antecedentes,N/A,Desfavoráveis,N/A,Múltiplas condenações,N/A,Não,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
0064225-83.2017.8.26.0050,Roubo Majorado,SÃO PAULO,16ª Vara Criminal,Paulo Fernando Deroma De Mello,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0069985-62.2003.8.26.0451,Roubo Majorado,Piracicaba,2ª Vara Criminal,Dr. Flavia de Cassia Gonzales de Oliveira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0080074-73.2012.8.26.0114,Roubo Majorado,Campinas,6ª Vara Criminal,BRUNO LUIZ CASSIOLATO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0087690-02.2012.8.26.0114,Roubo Majorado,Campinas,3ª Vara Criminal,BRUNO LUIZ CASSIOLATO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0106567-17.2014.8.26.0050,Roubo Majorado,SÃO PAULO,13ª Vara Criminal,Dr(a). Gerdinaldo Quichaba Costa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A
0697813-91.2003.8.26.0577,Roubo Majorado,São José dos Campos,4ª Vara Criminal,CARLOS GUTEMBERG DE SANTIS CUNHA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1001911-87.2022.8.26.0348,Roubo Majorado,Mauá,2ª Vara Criminal,Paulo Antonio Canali Campanella,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1001971-60.2022.8.26.0348,Roubo Majorado,MauÃ¡,2Âª Vara Criminal,Paulo Antonio Canali Campanella,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1003931-68.2022.8.26.0019,Roubo Majorado,Americana,2ª Vara Criminal,EUGENIO AUGUSTO CLEMENTI JUNIOR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500034-63.2019.8.26.0347,Roubo Majorado,Matão,Vara Criminal,Ricardo Domingos Rinhel,2648,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500035-14.2021.8.26.0368,Roubo Majorado,Monte Alto,2ª Vara,SUELLEN ROCHA LIPOLIS,N/A,N/A,Alta ou acentuada,Primário ou sem antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,N/A,Sim,Sim,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
1500037-25.2021.8.26.0613,Roubo Majorado,Tambaú,Vara Única,Dr(a). ÉNDERSON DANILO SANTOS DE VASCONCELOS,1460,2270,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Sim,N/A,Não,Sim,Não,Não,Não,Não convertida
1500043-13.2022.8.26.0608,Roubo Majorado,Franca,2ª Vara Criminal,Dr(a). EWERTON MEIRELIS GONCALVES,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
1500054-90.2021.8.26.0474,Roubo Majorado,Potirendaba,Vara Única,Dr(a). Marco Antônio Costa Neves Buchala,N/A,N/A,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,Não convertida
1500091-83.2022.8.26.0571,Roubo Majorado,Itapetininga,1ª Vara Criminal,ANDRE LUIS BASTOS,1460,970,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Sim,Sim,Não,Não,Sim,Não convertida
1500096-14.2021.8.26.0451,Roubo Majorado,Piracicaba,2ª Vara Criminal,Flavia de Cassia Gonzales de Oliveira,1470,2018,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Não,Sim,Não,Não convertida
1500102-98.2022.8.26.0608,Roubo Majorado,Franca,2ª Vara Criminal,EWERTON MEIRELIS GONCALVES,N/A,2723,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Sim,Não,Não,Não,Não convertida
1500112-59.2022.8.26.0571,Roubo Majorado,Itapetininga,1ª Vara Criminal,ANDRE LUIS BASTOS,1460,2270,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Sim,Não,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
1500116-39.2020.8.26.0548,Roubo Majorado,Cosmópolis,1ª Vara Judicial,Dr(a). Maria Thereza Nogueira Pinto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,N/A,N/A,N/A
1500128-40.2021.8.26.0153,Roubo Majorado,Cravinhos,1ª Vara,Luiz Claudio Sartorelli,1460,1945,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Sim,Não,Sim,N/A,Não,Sim,Sim,Não,Sim,Não convertida
1500144-60.2022.8.26.0540,Roubo Majorado,Santo André,3ª Vara Criminal,Jarbas Luiz dos Santos,1700,1095,Alta ou acentuada,Primário ou sem antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Não,Não,Sim,Sim,N/A,Sim,Sim,Sim,Não,Sim,Não convertida
1500156-74.2022.8.26.0540,Roubo Majorado,Santo André,3ª Vara Criminal,BRUNO GONÇALVES MAURO TERRA,1760,2835,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Uma condenação,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
1500158-52.2021.8.26.0484,Roubo Majorado,Promissão,1ª Vara Judicial,DANIEL LUCIO DA SILVA PORTO,1711,2835,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Uma condenação,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,Não convertida
1500159-88.2018.8.26.0598,Roubo Majorado,Jaú,1ª Vara Criminal,MAURICIO MARTINES CHIADO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500166-18.2022.8.26.0153,Roubo Majorado,Cravinhos,1ª Vara,Luiz Claudio Sartorelli,1468,2648,N/A,N/A,N/A,Desfavoráveis,Não no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
1500170-89.2021.8.26.0347,Roubo Majorado,Matão,Vara Criminal,Ricardo Domingos Rinhel,1460,2270,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Sim,N/A,Não,Não,Não,Sim,Não,Não convertida
1500182-09.2021.8.26.0540,Roubo Majorado,Santo André,1ª Vara Criminal,Maria Sílvia Gabrielloni Feichtenberger,1460,2430,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
1500185-90.2022.8.26.0616,Roubo Majorado,Suzano,2ª Vara Criminal,Dr(a). José Eugenio Do Amaral Souza Neto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,Não,Sim,N/A
1500190-33.2022.8.26.0416,Roubo Majorado,Panorama,2ª Vara Judicial,Tiago Henrique Grigorini,1640,5038,Alta ou acentuada,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
