Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Culpabilidade,Antecedentes,Personalidade do Agente,Circunstâncias do Crime,Pena-Base Minimo?,Reincidência,Contra Criança/Idoso/Enfermo/Grávida,Menor de 21 ou Maior de 70,Confissão Espontânea,Pena Provisória,Crime Tentado,Concurso de Pessoas,Restrição de Liberdade da Vítima,Arma Branca,Arma de Fogo,Conversão da Pena
1500034-55.2019.8.26.0382,Roubo Simples,Neves Paulista,Vara Única,MILENA REPIZO RODRIGUES,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Sim,Não,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
1500035-71.2022.8.26.0079,Roubo Simples,Botucatu,1ª Vara Criminal,JOSIAS MARTINS DE ALMEIDA JUNIOR,1460,1945,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Sim,Sim,Sim,N/A,Não,Sim,Sim,Não,Sim,Não convertida
1500041-23.2022.8.26.0550,Roubo Simples,Rio Claro,2ª Vara Criminal,CAIO CESAR GINEZ ALMEIDA BUENO,1700,1470,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Sim,N/A,Não,Não,Não,Não,N/A,Não convertida
1500042-43.2022.8.26.0603,Roubo Simples,Valparaíso,1ª Vara,ELISA LEONESI MALUF,1460,485,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Não,Não,Não,Sim,N/A,Sim,Não,Não,Sim,Sim,Convertida
1500046-06.2022.8.26.0466,Roubo Simples,Pontal,1ª Vara,Dra. Bruna Araújo Capelin Matioli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500048-13.2022.8.26.0583,Roubo Simples,Presidente Prudente,1ª Vara Criminal,Antonio Roberto Sylla,1460,2920,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Uma condenação,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
1500050-27.2022.8.26.0536,Roubo Simples,Guarujá,1ª Vara Criminal,Denise Gomes Bezerra Mota,1460,2270,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Não,Não,Não,Não convertida
1500051-63.2022.8.26.0616,Roubo Simples,Ferraz de Vasconcelos,3ª Vara,JULIANA MARIA MACCARI PAUFERRO,1700,2270,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Sim,Não,Não,Não,Não convertida
1500054-37.2022.8.26.0545,Roubo Simples,Jarinu,Vara Única,GUILHERME SOUZA LIMA AZEVEDO,1700,2270,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,Diferente da base,Não,Sim,Sim,Não,Não,Não convertida
1500058-67.2021.8.26.0591,Roubo Simples,Pacaembu,1ª Vara,LUCIANA AMSTALDEN BERTONCINI,1700,1700,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Múltiplas condenações,Não,Não,Não,Igual à base,Não,Não,Não,Não,Não,Não convertida
1500059-94.2020.8.26.0556,Roubo Simples,Ibitinga,Vara Criminal,RICARDO PALACIN PAGLIUSO,N/A,1135,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Sim,Diferente da base,Sim,Sim,Não,Não,Não,Não convertida
1500062-77.2022.8.26.0621,Roubo Simples,Aparecida,2ª Vara,LUÍSA TOSTES ESCOCARD DE OLIVEIRA,1700,3311,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Não,Não,Não,Sim,Não convertida
1500064-42.2022.8.26.0073,Roubo Simples,Avaré,2ª Vara Criminal,Roberta de Oliveira Ferreira Lima,1460,1945,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Sim,N/A,Não,Sim,Não,Não,Não,Não convertida
1500064-63.2022.8.26.0551,Roubo Simples,Araras,Vara Criminal,Rafael Pavan de Moraes Filgueira,N/A,N/A,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Uma condenação,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
1500067-21.2022.8.26.0550,Roubo Simples,Brotas,1ª Vara,MARCELA MACHADO MARTINIANO,1460,1513,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Não,Não,Sim,Sim,Diferente da base,Sim,Sim,Não,Sim,Não,Não convertida
1500069-09.2021.8.26.0038,Roubo Simples,Araras,Vara Criminal,Dr(a). Rafael Pavan de Moraes Filgueira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500077-22.2022.8.26.0144,Roubo Simples,Conchal,Vara Única,FELIPE GUINSANI,1700,1513,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,Diferente da base,Sim,Sim,Não,Não,Sim,Não convertida
1500083-87.2022.8.26.0545,Roubo Simples,Jarinu,Vara Única,GUILHERME SOUZA LIMA AZEVEDO,1700,1945,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Sim,Igual à base,Não,Sim,Sim,Não,Não,Não convertida
1500083-88.2020.8.26.0535,Roubo Simples,Arujá,2ª Vara,JOSÉ HENRIQUE OLIVEIRA GOMES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,Sim,Não,Sim,N/A
1500086-08.2022.8.26.0621,Roubo Simples,Cruzeiro,Vara Criminal,Claudionor Antonio Contri Junior,1460,1748,Neutra ou comum,Primário ou sem antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,N/A,Sim,Não,Não,Não,N/A,Não convertida
1500088-03.2022.8.26.0548,Roubo Simples,Campinas,5ª Vara Criminal,LISSANDRA REIS CECCON,N/A,1680,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,Igual à base,Não,Não,Não,Não,Não,Não convertida
1500088-09.2020.8.26.0213,Roubo Simples,Guará,1ª Vara,Dr. ADRIANO PUGLIESI LEITE,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,Normais ou neutras,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,N/A,Não,Não,N/A
1500093-55.2021.8.26.0129,Roubo Simples,Casa Branca,1ª Vara,Tiago Henrique Grigorini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500097-53.2020.8.26.0315,Roubo Simples,Laranjal Paulista,1ª Vara,ELIANE CRISTINA CINTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500103-79.2019.8.26.0223,Roubo Simples,Guarujá,2ª Vara Criminal,Dr(a). André Rossi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500106-57.2022.8.26.0537,Roubo Simples,São Bernardo do Campo,2ª Vara Criminal,Gustavo Kaedei,2446,2701,Alta ou acentuada,Primário ou sem antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Não,Não,Sim,Sim,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
1500109-55.2020.8.26.0028,Roubo Simples,Aparecida,1ª Vara,LUIZ FILIPE SOUZA FONSECA,1642,1460,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Não,Não,Sim,Não,Não convertida
1500110-63.2019.8.26.0355,Roubo Simples,Miracatu,1ª Vara,Barbara Donadio Antunes Chinen,1945,1945,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Não,Não,Não,Não,Não convertida
1500111-06.2022.8.26.0626,Roubo Simples,Ilhabela,1ª Vara,LUCAS GARBOCCI DA MOTTA,1711,1514,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Não,Diferente da base,Sim,Não,Não,Sim,Não,Não convertida
1500115-60.2022.8.26.0394,Roubo Simples,Nova Odessa,1ª Vara Judicial,GUILHERME SOUZA LIMA AZEVEDO,1460,1945,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,Igual à base,Não,Não,Sim,Sim,Não,Não convertida
1500116-77.2022.8.26.0545,Roubo Simples,Jarinu,Vara Única,GUILHERME SOUZA LIMA AZEVEDO,1700,2270,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Não,Igual à base,Não,Sim,Sim,Não,Não,Não convertida
1500120-22.2022.8.26.0511,Roubo Simples,Piracicaba,1ª Vara Criminal,FELIPPE ROSA PEREIRA,1748,3500,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Sim,Sim,Sim,Não,Sim,Não convertida
1500123-66.2021.8.26.0137,Roubo Simples,Cerquilho,Vara Única,Dr. GUILHERME DE PAULA NASCENTE NUNES,1825,3545,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Sim,Sim,Não,Sim,Não convertida
1500129-48.2021.8.26.0404,Roubo Simples,Orlândia,1ª Vara,Bruna Araújo Capelin Matioli,1700,2555,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Sim,Sim,Sim,Sim,Não,Não convertida
1500132-17.2020.8.26.0540,Roubo Simples,SÃO PAULO,20ª Vara Criminal,RICHARD FRANCISCO CHEQUINI,1945,5078,Alta ou acentuada,Primário ou sem antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
1500133-74.2022.8.26.0558,Roubo Simples,Novo Horizonte,1ª Vara,RAPHAEL FARACO NETO,1460,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Não,Não,Não,Não,Convertida
1500134-49.2021.8.26.0605,Roubo Simples,Andradina,1ª Vara,ALEXANDRE RODRIGUES FERREIRA,N/A,3240,N/A,N/A,N/A,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
1500136-48.2020.8.26.0542,Roubo Simples,Osasco,1ª Vara Criminal,Gisele de Castro Catapano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Não,N/A,N/A,Não,N/A
1500136-87.2022.8.26.0571,Roubo Simples,Itapetininga,2ª Vara Criminal,Alfredo Gehring Cardoso Falchi Fonseca,N/A,1700,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Sim,Não,Não,Não,Sim,Não convertida
1500141-79.2022.8.26.0484,Roubo Simples,Promissao,2ª Vara Judicial,LUIS FERNANDO VIAN,2370,4415,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Múltiplas condenações,Sim,Não,Não,Diferente da base,Não,Sim,Sim,Não,Sim,Não convertida
1500142-26.2022.8.26.0626,Roubo Simples,Caraguatatuba,Vara Criminal,JÚLIO DA SILVA BRANCHINI,1460,1460,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,Igual à base,Não,Não,Não,Não,Não,Não convertida
0018390-96.2022.8.26.0050,Roubo Simples,SÃO PAULO,20ª Vara Criminal,RICHARD FRANCISCO CHEQUINI,1460,1335,N/A,N/A,N/A,N/A,Sim no mínimo,N/A,Não,Não,Sim,N/A,Sim,Sim,Não,Não,Não,N/A
1500083-87.2022.8.26.0545,Roubo Simples,Jarinu,Vara Única,GUILHERME SOUZA LIMA AZEVEDO,1700,2648,Alta ou acentuada,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Igual à base,Não,Sim,Sim,Não,Não,Não convertida
1500113-44.2020.8.26.0238,Roubo Simples,Ibiúna,2ª Vara,Dra. Daniele Machado Toledo,485,565,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,Diferente da base,Não,Não,Não,Não,Sim,Não convertida
1500211-89.2022.8.26.0066,Roubo Simples,Barretos,2ª Vara Criminal,LUCIANO DE OLIVEIRA SILVA,1460,1700,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Sim,Sim,N/A,Não,Não,Não,Sim,N/A,Não convertida
1519548-83.2020.8.26.0050,Roubo Simples,São Paulo,12ª Vara Criminal,EVA LOBO CHAIB DIAS JORGE,1700,1985,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Uma condenação,Não,Não,Não,Diferente da base,Não,Não,Não,Sim,N/A,Não convertida
1500771-07.2021.8.26.0441,Roubo Simples,Peruíbe,1ª Vara,ANDERSON JOSÉ BORGES DA MOTA,1460,1460,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Não,Não,Não,Não,Não convertida
1523430-04.2020.8.26.0228,Roubo Simples,SÃO PAULO,17ª Vara Criminal,Dr(a). Fábio Aguiar Munhoz Soares,1095,1095,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Não,Não,Não,Sim,Igual à base,Sim,Sim,Não,Não,Sim,Não convertida
1501310-54.2022.8.26.0047,Roubo Simples,Assis,1ª Vara Criminal,Dr. Adugar Quirino do Nascimento Souza Junior,N/A,1359,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Sim,Não,Não,Não,Não,Não convertida
1507173-30.2022.8.26.0228,Roubo Simples,SÃO PAULO,30ª Vara Criminal,ISAURA CRISTINA BARREIRA,1700,1700,Alta ou acentuada,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Uma condenação,Não,Não,Sim,Igual à base,Não,Não,Não,Sim,N/A,Não convertida
1500518-80.2022.8.26.0571,Roubo Simples,São Miguel Arcanjo,Vara Única,Matheus Oliveira Nery Borges,1985,881,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Não,Diferente da base,Sim,Sim,Não,Não,N/A,Não convertida
1503392-74.2022.8.26.0462,Roubo Simples,Poá,1ª Vara Criminal,Erika Dalaruvera de Moraes Almeida,1825,2480,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Não,Não,Não,Sim,N/A
0001872-09.2021.8.26.0101,Roubo Simples,Caçapava,Vara Criminal,Gustavo de Campos Machado,1700,2555,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,Diferente da base,Não,Sim,Sim,Não,Sim,Não convertida
1507976-23.2021.8.26.0624,Roubo Simples,Tatuí,1ª Vara Criminal,FERNANDO JOSE ALGUZ DA SILVEIRA,1700,3026,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Sim,Não,Não,Não,Não convertida
1503862-31.2022.8.26.0228,Roubo Simples,SÃO PAULO,6ª Vara Criminal,Margot Chrysostomo Corrêa,N/A,N/A,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Sim,Sim,Não,Sim,Não,Não convertida
1507976-23.2021.8.26.0624,Roubo Simples,Tatuí,1ª Vara Criminal,FERNANDO JOSE ALGUZ DA SILVEIRA,1700,2723,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Sim,Não,Não,Não,Não convertida
0000806-35.2017.8.26.0068,Roubo Simples,Barueri,1ª Vara Criminal,Dr(a). Cyntia Menezes de Paula Straforini,N/A,2270,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Não,Não,Não,Não convertida
0001362-15.2016.8.26.0022,Roubo Simples,Amparo,1ª Vara,Fernando Leonardi Campanella,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002355-31.2016.8.26.0322,Roubo Simples,Lins,1ª Vara Criminal,Jane Carrasco Alves Floriano,1837,2454,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Sim,Sim,Não,N/A,Sim,Sim,Não,Sim,Não,Não convertida
0003475-63.2022.8.26.0625,Roubo Simples,Taubaté,1ª Vara Criminal,Cláudia Calles Novellino Ballestero,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Não,Não,Não,Não,Não convertida
1500070-13.2022.8.26.0279,Roubo Simples,Itararé,2ª Vara,RAFAEL CAMPEDELLI ANDRADE,1700,1985,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Sim,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
1500109-90.2022.8.26.0608,Roubo Simples,Franca,1ª Vara Criminal,Dr(a). Luciano Franchi Lemes,1470,1958,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Sim,Não,Sim,Diferente da base,Não,Não,Não,Sim,Não,Não convertida
1500272-68.2020.8.26.0599,Roubo Simples,Piracicaba,2ª Vara Criminal,Flavia de Cassia Gonzales de Oliveira,1460,1460,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Não,Não,Não,Não,Não convertida
0000226-68.2021.8.26.0616,Roubo Simples,Itaquaquecetuba,1ª Vara Criminal,ERICA PEREIRA DE SOUSA,1460,1945,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,Igual à base,Não,Não,Sim,Não,Não,Não convertida
0000391-77.2016.8.26.0556,Roubo Simples,Olímpia,Vara Criminal,Eduardo Luiz de Abreu Costa,2205,3121,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Sim,Sim,Sim,Sim,Não convertida
0000529-49.2021.8.26.0142,Roubo Simples,Colina,Vara Única,FABIANO MOTA CARDOSO,2190,3650,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Não,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0000605-48.2017.8.26.0616,Roubo Simples,Ferraz de Vasconcelos,3ª Vara,JULIANA MARIA MACCARI PAUFERRO,1460,1945,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Sim,Sim,Igual à base,Não,Sim,Sim,Não,Sim,Não convertida
0000641-90.2017.8.26.0616,Roubo Simples,Suzano,1ª Vara Criminal,FERNANDO OLIVEIRA CAMARGO,1470,1958,N/A,Primário ou sem antecedentes,N/A,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Sim,Sim,Não,Sim,Não convertida
0000646-39.2022.8.26.0616,Roubo Simples,Suzano,2ª Vara Criminal,José Eugenio Do Amaral Souza Neto,1711,1711,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0000679-71.2016.8.26.0282,Roubo Simples,Itatinga,Vara Única,CAMILA RODRIGUES PINHEIRO NUNES,1985,2980,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Normais ou neutras,Não no mínimo,Não,Não,Não,Não,Igual à base,Não,Sim,Não,Sim,Não,Não convertida
0000868-37.2018.8.26.0037,Roubo Simples,Araraquara,1ª Vara Criminal,Adriana Albergueti Albano,N/A,2730,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Sim,Sim,Não,Sim,Não convertida
0001119-28.2018.8.26.0628,Roubo Simples,São Roque,1ª Vara Criminal,Flavio Roberto de Carvalho,N/A,8120,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Uma condenação,Não,Não,Sim,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0001201-25.2017.8.26.0101,Roubo Simples,Caçapava,Vara Criminal,Dr(a). Gustavo de Campos Machado,1700,3405,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Sim,Não,Não,Diferente da base,Não,Sim,Sim,Não,Sim,Não convertida
0001336-54.2017.8.26.0451,Roubo Simples,Piracicaba,4ª Vara Criminal,Gisela Ruffo,N/A,N/A,Alta ou acentuada,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Sim,Sim,Sim,Sim,Não convertida
0001371-94.2017.8.26.0101,Roubo Simples,Caçapava,Vara Criminal,Gustavo de Campos Machado,1460,850,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Não,Diferente da base,Sim,Não,Não,Sim,Não,Não convertida
0001386-12.2016.8.26.0291,Roubo Simples,Jaboticabal,Vara Criminal,JULIANA FRANCINI DOS REIS COSTA,N/A,N/A,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Não,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0001537-02.2018.8.26.0616,Roubo Simples,Itaquaquecetuba,2ª Vara Criminal,Sérgio Cedano,1460,3890,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0001762-25.2017.8.26.0400,Roubo Simples,Olímpia,Vara Criminal,Eduardo Luiz de Abreu Costa,2675,2376,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,N/A,Não,Sim,Não,Diferente da base,Não,Sim,Sim,Sim,Não,Não convertida
0001776-85.2014.8.26.0538,Roubo Simples,Santa Cruz das Palmeiras,Vara Única,FELIPE GUINSANI,N/A,1680,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Sim,Diferente da base,Não,Não,Não,Sim,Não,Não convertida
0001860-81.2017.8.26.0150,Roubo Simples,Cosmópolis,1ª Vara Judicial,Fabiola Brito do Amaral,2190,3830,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Sim,Sim,Sim,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0001954-16.2016.8.26.0101,Roubo Simples,Caçapava,Vara Criminal,Dr(a). Gustavo de Campos Machado,N/A,2980,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,Diferente da base,Não,Sim,Sim,Não,Sim,Não convertida
0002256-41.2022.8.26.0196,Roubo Simples,Franca,2ª Vara Criminal,ALEXANDRE SEMEDO DE OLIVEIRA,1700,2041,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Sim,Não,Sim,Não,Não convertida
0003128-87.2015.8.26.0362,Roubo Simples,Mogi-Guaçu,Vara Criminal,PAULO ROGERIO MALVEZZI,540,630,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0003187-93.2018.8.26.0322,Roubo Simples,Lins,1ª Vara Criminal,Jane Carrasco Alves Floriano,1748,1945,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,Diferente da base,Não,Sim,Sim,Não,Sim,Não convertida
0004112-98.2017.8.26.0201,Roubo Simples,Garça,3ª Vara,TIAGO TADEU SANTOS COELHO,1460,2190,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,Igual à base,Não,Sim,Não,Não,Sim,Não convertida
0004727-12.2022.8.26.0590,Roubo Simples,São Vicente,3ª Vara Criminal,Rodrigo Barbosa Sales,1470,2404,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0004860-30.2006.8.26.0456,Roubo Simples,Pirapozinho,1ª Vara Judicial,ADRIANO CAMARGO PATUSSI,1460,1945,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Sim,Não,Não,Não,Não convertida
0005075-70.2017.8.26.0019,Roubo Simples,Americana,2ª Vara Criminal,EUGENIO AUGUSTO CLEMENTI JUNIOR,N/A,3376,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Sim,Sim,Não,Sim,Não convertida
